puma,boro,nabes,displacementriskindex,populationvulnerability,housingconditions,marketpressure,percentnotwhite,percentbelow2xpovertyrate,percentbelow2xpovertyrate_moe,limitedenglishproficiency,limitedenglishproficiency_moe,percentrentburdened,percentrentburdened_moe,percentunitswith3plusmaintenancedeficiencies,percentunitswith3plusmaintenancedeficiencies_moe,percentunitswithnoincomerestrictions,hny_nycha,totunts_20,percentrenters,percentrenters_moe,percentunitswithrentregulations,percentunitswithrentregulations_moe,changeinrents_moe,salespriceappreciation,changeinpopulationwithbachelorsdegrees,changeinpopulationwithbachelorsdegrees_moe,NU_lots,NU_airRightTrans,NU_mergedLots,NU_uniqueOwners,NU_landmark,NU_HistDist,NU_rentSt_12,NU_permits_12,NU_permits_22,UnitsRes_12,UnitsRes_22,NU_pass_screen,NU_softsites_12,NU_res_lots_12,NU_unitResInc,NU_unitResDec,NU_rec_dev,NU_rec_dev_2,NU_rec_dev_is_soft_site,NU_rec_dev_not_soft_site,NU_rec_dev_is_rent_st,NU_rec_dev_not_rent_st,PERC_unitResInc,PERC_unitResDec,PERC_landmark,PERC_HistDist,PERC_rentSt_12,PERC_rec_dev,PERC_rec_dev_2,PERC_assesedRatioInc,PERC_recentAlter,PERC_screen_passed,fail_initial_screen,PERC_screen_failed,PERC_softsites,PERC_rec_dev_not_soft_site,long,lat
03803,Manhattan,Central Harlem,46,44,67,67,85,42,2,10,1,24,2,16,4,74,9686,34325,87,1,49,8,72,4,46,14,4725,122,278,3303,54,413,1912,364,126,60685,61082,219,98,3847,214,318,317,325,21,296,111,206,5,7,1,9,50,7,7,73,6,5,4506,95,2,93,-73.94391620181985,40.81410237678656
03804,Manhattan,East Harlem,52,53,80,34,85,55,3,17,2,25,2,18,5,49,13545,26440,93,1,33,8,80,4,48,18,2935,103,213,1951,16,9,1065,197,100,52198,53842,243,125,1929,130,131,230,240,25,205,15,215,4,4,1,0,55,8,8,62,3,8,2692,92,4,89,-73.93285442894711,40.79334755380172
03805,Manhattan,Upper East Side,2,3,56,15,26,10,1,4,1,19,3,6,2,98,910,47051,62,2,33,6,102,2,-6,6,5580,532,233,4789,131,1640,2966,408,174,150072,147456,254,59,4893,248,399,259,262,17,242,89,170,4,7,2,29,61,5,5,90,7,5,5326,95,1,93,-73.95321264668593,40.77024292817972
03806,Manhattan,Upper West Side & West Side,5,5,59,27,35,18,2,7,1,20,2,9,3,92,5559,65388,64,2,36,6,154,2,-4,5,4112,575,110,3517,77,2414,2652,344,148,115061,117233,197,64,3671,132,306,123,128,17,106,45,78,3,7,2,59,72,3,3,93,5,5,3915,95,2,86,-73.97538412611624,40.785287829712814
03807,Manhattan,"Chelsea, Clinton & Midtown Business District",12,13,45,59,46,21,2,9,1,19,2,5,2,92,3675,44158,76,2,45,6,189,2,28,9,6192,2967,552,5011,205,747,1935,945,329,104012,114152,629,360,3071,324,311,607,647,125,482,55,552,5,5,3,12,63,10,10,80,8,10,5563,90,6,79,-73.99542961372225,40.755297893167224
03808,Manhattan,"Murray Hill, Gramercy & Stuyvesant Town",6,8,37,18,35,13,2,6,2,21,4,3,2,92,1208,30374,67,2,43,6,158,2,0,10,3256,602,194,2766,72,269,1318,267,74,103235,103775,187,61,2346,151,169,194,212,15,179,41,153,5,5,2,8,56,6,7,83,7,6,3069,94,2,92,-73.97146344498535,40.74275008649949
03809,Manhattan,Chinatown & Lower East Side,46,49,90,12,67,45,3,27,2,24,3,18,3,72,8976,28739,89,1,37,8,105,3,9,11,4329,228,208,3347,61,34,2289,377,190,79322,78857,258,117,3205,243,164,240,254,36,204,27,213,6,4,1,1,71,6,6,85,6,6,4071,94,3,85,-73.98332475748215,40.717468067891204
03810,Manhattan,"Battery Park City, Greenwich Village & Soho",6,6,65,38,32,12,1,5,1,17,2,8,3,100,153,35181,69,2,33,6,172,2,16,8,6246,560,384,4912,179,3730,2102,852,299,94731,97234,320,157,4461,343,405,407,439,58,349,42,365,5,6,3,60,47,7,7,86,11,5,5926,95,3,86,-74.01181679263667,40.71134030445504
03901,Staten Island,"Tottenville, Great Kills & Annadale",7,10,43,3,26,16,2,7,1,26,8,2,2,99,100,11875,19,3,12,9,236,2,20,16,49558,1,529,44061,30,0,42,1121,214,59605,60195,8006,6970,44044,1134,588,1135,1308,608,527,0,1135,2,1,0,0,0,2,3,89,1,16,41552,84,14,46,-74.14786859540268,40.53280043263848
03902,Staten Island,New Springville & South Beach,16,21,42,4,38,22,3,14,2,29,8,1,1,97,290,9778,30,4,3,4,210,2,13,16,34440,1,470,30969,27,30,87,801,172,48749,48539,4992,4655,30543,532,445,967,1093,376,591,1,966,2,1,0,0,0,3,3,89,2,14,29448,86,14,61,-74.13086520865731,40.59314816001424
