BBL,LotArea_12,availFAR_perc_12
2028390010,10830,100
2023500024,25000,87.6
2025230066,9037,100
2040180022,16198,100
2025060111,12658,100
2039740053,6117,58.8
2039480022,6602,83.5
2027490025,21900,79.7
2035590054,5000,58.4
2034540026,6019,66.7
2029650023,12771,72
2023630024,87688,50
2025380024,29750,100
2023300010,7487,74.7
2038060047,8676,70.4
2029080005,8730,100
2042350062,5225,100
2032010013,5890,74.9
2030550041,5741,75.2
2024720034,109600,82.2
2023500029,13470,81.9
2022930033,7500,100
2037730006,8702,73.5
2022770005,9500,97.3
2034600016,5302,61.7
2027050005,5000,100
2026060172,93975,87.5
2024230013,7500,84.3
2039870003,7118,69.1
2043220007,5000,81.4
2029770166,5000,100
2027610173,10000,53
2027610018,8659,84.4
2042210060,5000,65.6
2026570003,14508,65.8
2032170025,5000,64.8
2037940100,18750,72
2029500004,5508,100
2027740146,20000,75
2023500001,12635,70.9
2035150065,35373,100
2039480033,5225,100
2029790020,5000,70.9
2030280010,7881,61
2028610086,12500,100
2037670063,12306,56
2030810001,9425,50.6
2036480035,14217,88
2042200036,5000,67.8
2041290021,5000,56.7
2029400042,9757,82.8
2028920009,6805,92.7
2026840001,5028,86.3
2027280029,5000,51.5
2025110101,5309,84.3
2030130031,14555,81.4
2032150046,5300,77
2023170023,5067,67
2029600068,5000,80
2040620049,5131,60
2024870038,17272,100
2026790035,5500,100
2023310039,5000,77.6
2027410089,8424,100
2025980070,10000,75
2027120009,5500,100
2038370001,77875,80.5
2025200045,7525,100
2039130015,5250,66.4
2028700031,9196,71.5
2023200051,5125,87.8
2022760054,20950,90.5
2029810014,15000,82.3
2023410006,14300,84.7
2024870020,51301,68.6
2028610129,14475,61
2028780150,108071,62.5
2027320081,5820,100
2029530039,5355,53.5
2037300100,131250,75.2
2027820101,9300,95.3
2038600001,18700,100
2027550095,24756,90
2037800001,32000,84.4
2037650038,6550,57.6
2034430020,14000,100
2031580016,15650,84.1
2029550047,5000,81.1
2032030051,10505,59.3
2028580015,10000,50
2028050010,5000,88.5
2027610249,5000,50
2027690205,50000,99
2042730061,5000,56.7
2034470045,5500,61.7
2032150044,5300,77
2028550042,7500,50
2027660286,10250,100
2042970007,44888,100
2028450040,5968,73.6
2027620300,17500,69.5
2027710161,23900,50
2027680295,10000,86.5
2026030157,10000,70.9
2028810100,77000,NA
2027750029,5000,98
2026470047,5404,59.7
2022600193,60839,100
2023530020,10570,83
2038100082,10031,85.6
2027340046,18920,100
2027290083,17442,50
2027610081,5000,80.2
2026910053,6663,93.3
2038590018,5845,58.8
2036960032,21489,73
2037020101,179494,90.5
2036810058,5150,83.5
2042930031,15000,73
2041110007,5000,53.3
2043170069,13810,73.5
2027690067,10000,50
2038520164,12527,60
2037310001,40628,90.4
2043080033,5000,60
2028530045,5534,NA
2029670016,9130,54
2023860065,6050,70.9
2034980060,5400,80
2043060015,5850,64
2031150030,33750,87
2030790068,5000,86.3
2027680246,7455,50
2038350003,8528,100
2024490060,10000,78.8
2035100025,5417,70.4
2043100035,10600,50.5
2043250015,6710,60.9
2030150003,8976,90.2
2029980156,8000,NA
2032150042,5300,83.1
2028840005,175899,100
2028840110,9699,100
2027740349,50000,60
2032090053,5850,84.3
2023520028,28462,50
2023270012,11805,100
2027770246,20000,50
2037540041,5325,84.8
2034300054,5510,100
2027680149,10000,72
2025800028,24300,85.8
2023800147,23000,96.2
2034580015,5571,71.7
2028450047,9196,100
2024080053,5001,100
2036480001,40000,100
2026010020,10000,80
2026010024,27250,66.2
2034300042,5174,100
2030300088,17204,100
2027570001,23600,70.1
2030780014,5344,100
2039520001,7095,58.8
2028080082,14165,83.6
2025670026,9270,100
2024580035,15598,86.5
2026130040,9282,92.2
2026450043,16125,58.8
2025260032,5750,100
2031120007,5000,93
2035420001,27135,100
2024830045,12190,88.9
2028290045,26174,90
2027690112,10042,50
2024510001,9690,70.9
2024840009,19306,74.7
2028570023,6998,100
2027230063,7980,100
2028540039,7500,80.5
2023880067,7064,100
2028210011,16902,83.4
2023500039,17600,54.1
2040780040,5395,60
2027630256,10693,62.1
2023860164,24637,67.2
2027770453,5000,100
2025060085,5015,100
2042260409,16793,77
2030890022,5000,100
2025110065,5000,100
2026150034,14700,56.4
2028880001,35732,86
2025870046,15545,64.5
2038140010,8448,100
2039320075,34125,79.8
2028840050,71066,100
2031430240,5420,100
2027680120,10000,84.5
2038230067,5260,64.8
2039080068,15452,100
2039300001,9920,67.1
2042430020,5000,59.1
2028140008,8025,100
2034480001,150538,100
2034920001,24800,100
2039130001,9219,86.4
2042190003,5000,51
2025040016,11327,100
2039710013,6250,62.7
2040640014,5000,51.1
2042370057,5242,76.4
2030870014,6683,100
2028530015,5000,71
2029400047,6795,75
2023410150,5775,94.5
2024230003,7000,70.9
2041690042,5000,56.4
2031170014,7508,73
2037360030,12500,60
2031680059,5460,89.9
2023790030,5050,100
2028610151,7500,58.5
2027680198,10524,50
2027800073,623000,66
2029530037,6200,100
2025700018,48500,79.4
2031190050,5000,100
2027360270,29182,79.5
2041120038,5000,71.1
2027370001,11967,100
2025830062,412300,98
2028690130,7285,75
2025940001,29960,53
2023450005,10053,84.6
2027650022,17449,58.5
2040720014,17880,100
2027660022,5000,100
2023280012,12500,100
2027770205,83425,58
2035610075,5000,57.6
2042000001,10000,61.1
2043170056,9980,71.8
2027680222,10000,100
2043320047,5000,53.3
2028530043,6571,NA
2032050021,7340,58.8
2027650031,7500,100
2039580010,21500,62.6
2030290002,5582,56.5
2025150138,25400,100
2023200059,5841,50.5
2042470001,10638,74.1
2028460004,7555,71.5
2029630037,6908,100
2023610026,73200,100
2025520070,13200,70.9
2043210070,6500,72.4
2023510020,9200,81.9
2028590010,6870,58
2036270001,553463,100
2042780044,6500,76.7
2027720077,5000,100
2029380040,11334,100
2024240017,6122,100
2027620187,37500,66
2027050003,5720,70.9
2026040180,652532,100
2025610015,5000,50
2031890001,22656,54.9
2025900016,10527,62.5
2036960045,12591,70
2034760051,11155,78.3
2036360020,47950,84
2028420018,14675,71.2
2034730021,5000,100
2042390005,61175,75
2023300044,10195,99.1
2029980002,467940,91.5
2029340040,11049,99.6
2029120161,29400,100
2030480043,6399,100
2027620225,15842,68.5
2030450044,9936,94.2
2027330055,53200,100
2022650059,10000,58.8
2037910032,5150,67.2
2037940109,10650,59.7
2028870157,11250,76.2
2026000122,7404,77.2
2025960001,26742,100
2024260064,26403,93
2040990004,5000,74.4
2032040030,5000,50.6
2027620408,33125,68
2023400110,19598,71
2038010022,5150,58.4
2030410018,7650,75
2025230120,10645,100
2025230133,11618,100
2036710019,16545,95.5
2041200008,17922,100
2041950001,9564,99.6
2028530053,10841,NA
2042210046,5000,53.3
2031460067,5542,100
2028720086,10913,94.5
2038210027,5150,68
2031020001,5000,70.9
2030680065,7350,86
2027640092,11083,62
2030750004,5000,100
2027610227,19363,60
2038130027,5124,77.6
2025700042,9399,80
2031640009,8950,77.7
2025570062,29817,NA
2041420001,16096,100
2042580023,22014,100
2031110059,6930,93.9
2027750034,5000,92.5
2027610166,21000,76
2030280068,31400,100
2041110052,5978,68.9
2024880001,14835,100
2038380311,31625,80.5
2042230024,10900,75
2030790042,15843,82.2
2031970017,6500,73.3
2023600097,17437,73.8
2042430043,5000,71.8
2028540044,24120,72.7
2036980034,5150,100
2036610001,47000,89.3
2042350043,13400,100
2030530051,5041,75
2027620255,10000,50
2027560085,39760,55
2026160023,9284,100
2028760049,5000,70.9
2024100072,5900,100
2025280035,15600,95.3
2036870043,18643,71.7
2030310001,12126,100
2040980023,5000,51.1
2042740004,5000,64
2022780077,10000,66.7
2038440016,83396,58
2038200078,5150,76.8
2027690106,6223,60
2023680012,10790,75.9
2040510026,9500,80.8
2031490082,5156,80.2
2027440001,13663,52.3
2042900032,6089,100
2028630035,9181,71.5
2023200053,24750,90
2027770455,5000,94.5
2029920060,7249,100
2025240043,12500,100
2040140001,28752,90
2026030051,11400,50
2027750049,19600,98
2027660145,44533,100
2023510003,12344,85.4
2028690056,5188,89.5
2030230037,12675,59.6
2027240032,29000,72.7
2031620040,7800,97
2025080031,10620,92.4
2034700016,5000,71.7
2028630046,10833,56.4
2030680024,5010,70.9
2035260009,8750,79.2
2029930031,9835,90.4
2031960081,10000,58.5
2039100122,52500,57
2039800038,11170,84.4
2041900014,7126,75.2
2028560045,9963,81.9
2031630026,8950,77.7
2027180001,28325,100
2025090050,9400,77.9
2025410159,9048,96
2030630100,14660,NA
2028770359,5000,53.6
2041960013,6103,100
2030670037,8450,99.6
2029400025,6704,80.5
2026010061,13912,85
2023690048,24378,82.8
2039470055,109593,72.8
2030420005,44825,91.8
2028590044,7314,50
2036410001,144440,77.8
2025140040,26000,86.6
2027720091,10071,100
2028890061,34143,59
2035750032,10000,60.8
2038180050,5665,79.2
2030940063,5000,100
2030150096,9280,83.8
2039960047,5090,75.7
2027720262,18585,81.5
2025820012,15000,66.5
2031790002,5071,82.8
2022670005,6215,100
2032080046,5000,91.3
2023400209,12500,50
2039320015,10000,96.7
2032070029,5000,87.2
2027710130,25000,70
2025740001,183400,100
2029650030,6860,50
2027310040,6890,50.5
2027680230,15000,50
2025300009,37500,70.9
2038400100,18437,79
2042490001,9002,74.4
2028420055,9000,71.8
2032190205,6429,77
2023470024,11064,75.3
2025260040,5380,76.5
2034940060,5000,55.6
